latitude,longitude
46.604239,-120.481583
47.467463,-120.336918
48.214249,-122.184142
46.751382,-121.937189
47.617601,-122.193492
47.611844,-122.193618
47.612345,-122.197702
47.607592,-122.189582
48.754197,-122.496675
48.783141,-122.484001
48.788325,-122.48746
46.296071,-119.451487
48.990486,-122.774447
46.202588,-123.384133
47.842476,-120.098099
47.207984,-121.019499
47.400629,-122.296834
47.314052,-122.300982
47.914774,-124.544249
48.010539,-122.534798
47.305772,-122.579191
47.318391,-122.585326
47.550744,-122.057467
46.213187,-119.286497
46.178019,-119.189427
48.039607,-122.406131
48.041105,-122.410772
47.767473,-120.653187
47.551769,-120.680327
47.884887,-120.156959
47.896557,-120.132386
47.240392,-124.217215
47.10335,-119.251036
46.545331,-122.508967
48.340723,-124.662924
48.333479,-124.659368
47.03909,-122.882327
47.027278,-122.912415
48.987053,-119.425912
46.250235,-119.116144
48.101579,-123.477119
48.114921,-123.268398
48.116414,-123.255357
46.715837,-117.166626
47.17669,-122.2931
47.098792,-119.996204
47.671225,-122.122192
46.281294,-119.273452
46.271849,-119.269167
47.610335,-122.341261
47.604904,-122.336189
47.610166,-122.335179
47.612347,-122.334168
47.437313,-122.287623
47.610845,-122.347258
47.661523,-122.324913
47.622544,-122.333913
47.608197,-122.334028
47.661869,-122.315415
47.625675,-122.346886
47.625378,-122.344596
47.614141,-122.336357
47.627047,-122.314961
47.607651,-122.339418
46.334855,-124.055074
48.06217,-123.168319
48.149618,-123.153648
47.51865,-121.841773
47.656578,-117.424414
47.656306,-117.423487
47.663559,-117.412422
47.63666,-117.477532
47.66075,-117.414533
47.659917,-117.417273
47.657247,-117.423946
47.642631,-117.537533
47.673676,-117.201827
45.685622,-121.905244
47.250577,-122.439947
47.23853,-122.427213
47.347184,-123.06764
45.653804,-122.591975
46.089019,-118.278234
47.734002,-122.141347
46.088478,-118.227154
46.016223,-118.38607
46.067913,-118.340899
46.092016,-118.271808
47.476001,-120.376514
46.859479,-124.108594
47.732864,-122.147196
46.604039,-120.494574
47.667043,-117.110447
47.189262,-120.902714
45.657705,-122.581873
47.614293,-122.192294
47.625077,-122.339032
47.614336,-117.503088
47.674374,-122.127167
47.145098,-122.438741
47.145084,-122.438862
47.630363,-117.538616
47.6123,-122.1966
47.589593,-122.332945
47.66565,-117.19014
47.49129,-121.79356
45.68739,-122.66091
48.343208,-122.674995
47.658,-122.712
47.658,-122.712
47.658,-122.712
47.658,-122.712
47.658,-122.712
47.658,-122.712
47.658,-122.712
47.658,-122.712
47.658,-122.712
47.563229,-122.646326
47.563313,-122.646465
47.563266,-122.646362
47.56327,-122.646238
48.0553,-122.6957
47.993164,-122.221138
47.992104,-122.214104
47.70251,-122.62316
47.70224,-122.624811
46.603762,-120.503347
48.443205,-122.316279
47.862572,-121.976585
46.31017,-117.99763
47.609629,-122.333133
47.457152,-122.251628
47.769459,-122.151217
47.616294,-122.201029
47.635213,-122.325845
47.635119,-122.325866
47.618421,-122.20129
47.590129,-117.565574
47.615943,-122.205532
47.615991,-122.205533
48.44174,-122.34476
47.465555,-123.850735
47.49729,-122.1993
48.8529235,-122.5895254
47.579872,-122.135431
47.83199,-122.26733
47.05966,-122.77201
47.444636,-122.21277
47.444881,-122.212781
47.36029,-122.10773
48.09546,-122.1869
46.13988,-122.90126
47.23947,-122.48025
46.60252,-120.47924
45.657386,-122.584791
45.658859,-122.5835
47.24293,-122.39677
47.153199,-122.504023
45.609302,-122.500484
47.316668,-122.306683
47.678055,-122.314119
47.668051,-117.4063
47.663105,-117.40049
47.91349,-122.21331
47.11948,-118.36271
45.61776,-122.47814
47.585782,-122.233277
47.66547,-122.350292
47.042022,-122.938283
47.042821,-122.934577
47.042561,-122.936463
47.460023,-122.25938
47.578662,-122.170444
47.622517,-122.321407
47.662307,-122.369715
47.682581,-122.317165
47.701876,-122.343075
47.614103,-122.034146
47.583116,-122.03388
47.543796,-122.017239
47.656981,-122.692128
47.658828,-122.688789
47.99823,-122.10064
47.70846,-122.32489
47.380592,-122.19517
47.38073,-122.19693
47.380135,-122.196106
47.45571,-122.25738
47.24889,-122.453156
47.54187,-122.05203
47.618696,-122.191787
47.622575,-122.335481
47.585809,-122.233237
47.611815,-122.178134
47.612834,-122.178704
47.670893,-117.176698
47.629619,-117.535903
47.86516,-121.97318
48.7472802,-122.4762196
48.508154,-122.611842
48.5006578,-122.6159562
47.848697,-122.246153
47.776781,-122.181535
47.8124532,-122.3758246
47.8051107,-122.3813841
47.7047402,-122.2108592
46.0705799,-118.3306351
47.7084377,-122.3179225
47.6165569,-122.1537017
47.7033895,-122.3558363
47.5365604,-122.0205442
47.6159842,-122.195596
47.536237,-122.0220539
47.6141795,-122.199362
47.60692,-122.1987223
47.5806355,-122.1564536
47.6699634,-122.3847489
46.3343983,-119.269803
47.6154894,-122.3110069
47.6266892,-122.341933
47.6233435,-122.334684
47.6211672,-122.3354501
47.6164918,-122.3324879
47.61809006,-122.33892
47.6156458,-122.3350555
47.6156458,-122.3350555
47.6078691,-122.3196562
47.6166344,-122.3495259
47.6098122,-122.3413016
47.6072826,-122.3360929
47.6091582,-122.3418441
47.6048564,-122.3338286
47.6060061,-122.336716
47.5975078,-122.328595
47.5980919,-122.3309701
47.5892477,-122.3358112
47.5025057,-122.1780214
47.4884945,-122.1642138
47.3951507,-122.2953153
47.2944668,-122.2458311
47.24745539,-122.200549
47.298158744057,-122.50341835087
47.2515929,-122.4407988
47.2136054,-122.5366188
47.1727264,-122.5984377
47.093942,-122.6260623
47.0920691,-122.6422247
47.0002897,-122.6682861
46.3455914,-124.060608
48.727512,-122.48124
46.730066,-117.169086
47.80743,-122.20601
47.610024,-122.332078
47.2662577,-122.4617665
47.6188924,-122.1969419
47.571333,-122.328404
47.663902,-122.300245
46.195469,-119.265621
47.613651,-122.3183251
47.29799,-122.248532
47.468033,-121.716442
47.028924,-122.913101
47.61479,-122.195543
48.240744,-122.455384
47.610142,-122.331887
46.495156,-120.420633
46.014123,-118.310165
48.51854,-122.61215
46.06843,-118.330297
46.022244,-118.410638
47.320572,-122.220257
47.293522,-122.212936
47.831266,-122.266719
47.821995,-122.28391
47.619143,-122.34536
47.682638,-122.289885
47.905435,-122.293732
47.358443,-122.111992
47.470554,-122.346637
47.343188,-122.302009
47.297128,-122.381656
47.474492,-122.285668
47.623603,-122.35776
47.591,-117.56193
47.711826,-122.194719
47.448013,-122.45897
47.616737,-122.146188
47.946567294707,-124.39440425424
47.541945,-122.324328
